,0
SPANDANA,2927361
BHARATRAS,981505
TVSMOTOR,2170625
SUNCLAYLTD,7426049
POWERINDIA,4724993
FINEORG,958465
BAJFINANCE,81153
GAEL,2259969
AEGISCHEM,10241
RESPONIND,5202689
TIINDIA,79873
GALAXYSURF,336641
SOLARINDS,3412993
JKPAPER,3036161
SRTRANSFIN,1102337
MAHINDCIE,3823873
AUBANK,5436929
ADVENZYMES,4617985
EICHERMOT,232961
INDUSINDBK,1346049
IIFL,3023105
MAHSCOOTER,533761
GULFOILLUB,1124097
SEQUENT,3659777
JKTYRE,3695361
NH,3031041
CROMPTON,4376065
BDL,548865
OFSS,2748929
VIPIND,947969
DCAL,5556225
CDSL,5420545
GREAVESCOT,316161
MINDACORP,6629633
VARROC,987393
SBICARD,4600577
BAJAJFINSV,4268801
CAMS,87553
DMART,5097729
TATAELXSI,873217
IFBIND,380161
RBLBANK,4708097
ICICIBANK,1270529
HINDCOPPER,4592385
RADICO,2813441
CREDITACC,1131777
VAIBHAVGBL,2909185
UBL,4278529
MINDTREE,3675137
SUPRAJIT,2992385
PHILIPCARB,678145
CANFINHOME,149249
BALRAMCHIN,87297
APOLLOTYRE,41729
KOTAKBANK,492033
DIXON,5552641
CHOLAFIN,175361
SAIL,758529
EPL,251137
SONATSOFTW,1688577
BALMLAWRIE,86529
KSCL,3832833
LICHSGFIN,511233
LAOPALA,3692289
MFSL,548353
BAJAJELEC,3848705
VALIANTORG,84481
KPRMILL,3817473
SUNTV,3431425
BANDHANBNK,579329
TASTYBITE,5143553
SUNDARMFIN,854785
PEL,617473
INDIAMART,2745857
MCDOWELL-N,2674433
SBIN,779521
SOBHA,3539457
KRBL,2707713
HONAUT,874753
TEAMLEASE,3255297
MOTHERSUMI,1076225
ROUTE,32769
BAJAJ-AUTO,4267265
PIDILITIND,681985
IBULHSGFIN,7712001
HDFCBANK,341249
GMMPFAUDLR,401921
SWANENERGY,6936321
MPHASIS,1152769
CUB,1459457
KAJARIACER,462849
UJJIVAN,4369665
CANBK,2763265
SFL,4911105
OIL,4464129
HDFC,340481
LUXIND,2893057
BALKRISIND,85761
HAPPSTMNDS,12289
SPARC,3785729
EXIDEIND,173057
SHREECEM,794369
GEPIL,2012673
RAJESHEXPO,1894657
RAMCOCEM,523009
SUNDRMFAST,856321
NILKAMAL,619777
BOSCHLTD,558337
DCMSHRIRAM,207617
CGCL,5204225
POWERGRID,3834113
TIMKEN,3634689
ROSSARI,4968961
BAJAJHLDNG,78081
MASFIN,50945
INDUSTOWER,7458561
HAL,589569
BHARTIARTL,2714625
MIDHANI,630529
QUESS,4532225
BASF,94209
CENTURYTEX,160001
GARFIBRES,281601
UPL,2889473
MINDAIND,3623425
FLUOROCHEM,3520001
ELGIEQUIP,239873
VENKEYS,961793
AVANTIFEED,2031617
ASAHIINDIA,1376769
LAURUSLABS,4923905
INDOCO,2989313
PVR,3365633
ASIANPAINT,60417
LALPATHLAB,2983425
TCIEXP,4921089
STLTECH,2383105
THERMAX,889601
KANSAINER,306177
M&MFIN,3400961
NTPC,2977281
TATAMOTORS,884737
BLUEDART,126721
NAUKRI,3520257
SIEMENS,806401
CARBORUNIV,152321
TATAMTRDVR,4343041
GILLETTE,403457
BLUESTARCO,2127617
GODREJCP,2585345
INOXLEISUR,3384577
GAIL,1207553
CYIENT,1471489
CHOLAHLDNG,5565441
FORTIS,3735553
BRIGADE,3887105
AMARAJABAT,25601
SHILPAMED,4544513
OBEROIRLTY,5181953
POLYCAB,2455041
CAPLIPOINT,999937
INDIANB,3663105
AXISBANK,1510401
LTTS,4752385
NOCIL,625153
METROPOLIS,2452737
ADANITRANS,2615553
GRANULES,3039233
CSBBANK,3831297
ASHOKLEY,54273
KNRCON,3912449
VBL,4843777
JKLAKSHMI,3453697
HUHTAMAKI,655873
ZENSARTECH,275457
PNCINFRA,2402561
HINDUNILVR,356865
ESCORTS,245249
GRSE,1401601
IRB,3920129
COFORGE,2955009
HEIDELBERG,592897
ECLERX,3885825
MANAPPURAM,4879617
ZYDUSWELL,4514561
MARICO,1041153
ENDURANCE,4818433
MOTILALOFS,3826433
COCHINSHIP,5506049
CERA,3849985
PRINCEPIPE,4107521
TITAN,897537
WABCOINDIA,4330241
RELAXO,6201601
JSWENERGY,4574465
WIPRO,969473
SHARDACROP,1277953
SUDARSCHEM,851713
TECHM,3465729
SYNGENE,2622209
ISEC,637185
ATUL,67329
ITI,428801
COALINDIA,5215745
AIAENG,3350017
CCL,2931713
GRASIM,315393
AMBUJACEM,325121
NMDC,3924993
SANOFI,369153
RAYMOND,731905
PRSMJOHNSN,701185
HEROMOTOCO,345089
BERGEPAINT,103425
UTIAMC,134913
ONGC,633601
CRISIL,193793
ACC,5633
3MINDIA,121345
SHRIRAMCIT,3005185
TATACHEM,871681
SUNPHARMA,857857
JBCHEPHARM,441857
INDHOTEL,387073
APLAPOLLO,6599681
TTKPRESTIG,907777
VMART,7496705
KEC,3394561
INFY,408065
THYROCARE,4360193
ERIS,5415425
FDC,1253889
ULTRACEMCO,2952193
AKZOINDIA,375553
GSPL,3378433
TATACONSUM,878593
ZEEL,975873
PGHL,240641
DABUR,197633
M&M,519937
PERSISTENT,4701441
GLENMARK,1895937
RELIANCE,738561
INDIGO,2865921
UFLEX,269569
SUMICHEM,4378881
PRESTIGE,5197313
HATSUN,996353
MAHLOG,98561
MOIL,5332481
TRITURBINE,6549505
BAJAJCON,4999937
RECLTD,3930881
TATACOFFEE,185345
GLAXO,295169
JUSTDIAL,7670273
FINPIPE,266497
APOLLOHOSP,40193
ABB,3329
ATGL,1552897
LAXMIMACH,506625
BATAINDIA,94977
VEDL,784129
NAM-INDIA,91393
IGL,2883073
ALKEM,2995969
SBILIFE,5582849
SHOPERSTOP,3024129
CHAMBLFERT,163073
AMBER,303361
IRCTC,3484417
MGL,4488705
WESTLIFE,2964481
PNBHOUSING,4840449
KALPATPOWR,464385
MUTHOOTFIN,6054401
IOLCP,5225729
BSE,5013761
RATNAMANI,3443457
CADILAHC,2029825
RALLIS,720897
MARUTI,2815745
SCHAEFFLER,258817
NESCO,3944705
MRF,582913
ITC,424961
DHANI,3938305
VGUARD,3932673
ABCAPITAL,5533185
ADANIGREEN,912129
INTELLECT,1517057
MHRIL,4437249
MAZDOCK,130305
CONCOR,1215745
SOLARA,940033
EIDPARRY,234497
PGHH,648961
SKFINDIA,815617
AAVAS,1378561
GODFRYPHLP,302337
SUPREMEIND,860929
TORNTPOWER,3529217
POLYPLEX,687873
BAYERCROP,4589313
DEEPAKNTR,5105409
JKCEMENT,3397121
SRF,837889
ABBOTINDIA,4583169
AJANTPHARM,2079745
CIPLA,177665
DRREDDY,225537
TCS,2953217
CESC,160769
GODREJIND,2796801
GICRE,70913
COLPAL,3876097
BEL,98049
VINATIORGA,4445185
LT,2939649
FINCABLES,265729
ADANIPORTS,3861249
JYOTHYLAB,3877377
LTI,4561409
MCX,7982337
JSWSTEEL,3001089
ICIL,3068673
ADANIENT,6401
GNFC,300545
BEML,101121
PFC,3660545
TATACOMM,952577
BSOFT,1790465
JCHAC,1149697
AARTIDRUGS,1147137
BHARATFORG,108033
PAGEIND,3689729
HCLTECH,1850625
WOCKPHARMA,1921537
PFIZER,676609
COROMANDEL,189185
SUVENPHAR,4593921
GUJGASLTD,2713345
MAXHEALTH,5728513
VSTIND,953345
SUPPETRO,860161
SIS,5504257
TATASTEEL,895745
ABFRL,7707649
DIVISLAB,2800641
BPCL,134657
TATAINVEST,414977
HINDPETRO,359937
WHIRLPOOL,4610817
SWSOLAR,3197185
GODREJPROP,4576001
HAVELLS,2513665
ASTERDM,386049
NESTLEIND,4598529
TORNTPHARM,900609
NIACL,102145
HDFCLIFE,119553
HEG,342017
PETRONET,2905857
GRAPHITE,151553
REDINGTON,3649281
AUROPHARMA,70401
HINDALCO,348929
GRINDWELL,3471361
BIRLACORPN,122881
ICICIGI,5573121
BBTC,97281
CEATLTD,3905025
TCNSBRANDS,1068033
DLF,3771393
LUPIN,2672641
ICICIPRULI,4774913
GODREJAGRO,36865
MAHSEAMLES,534529
IIFLWAM,3343617
KEI,3407361
DALBHARAT,2067201
CHALET,2187777
CASTROLIND,320001
TANLA,3577857
ASTRAL,3691009
JINDALSTEL,1723649
CUMMINSIND,486657
SUNTECK,4516097
GUJALKALI,324353
VOLTAS,951809
ORIENTELEC,760833
AARTIIND,1793
TRENT,502785
DELTACORP,3851265
INDIACEM,387841
SCI,780289
APLLTD,6483969
JUBLFOOD,4632577
IEX,56321
FSL,3661825
PIIND,6191105
BLISSGVS,4931841
BRITANNIA,140033
BIOCON,2911489
GESHIP,3526657
EMAMILTD,3460353
CENTURYPLY,3406081
RITES,962817
KPITTECH,2478849
NATCOPHARM,1003009
HDFCAMC,1086465
ALEMBICLTD,20225
KSB,498945
ANGELBRKG,82945
BALAMINES,3712257
STAR,1887745
PHOENIXLTD,3725313
DHANUKA,6248705
AFFLE,2903809
INGERRAND,408833
LINDEINDIA,416513
WELCORP,3026177
RAIN,3926273
ORIENTREF,7977729
VTL,530689
JSLHISAR,3149825
GHCL,288513
NAVINFLUOR,3756033
IPCALAB,418049
HINDZINC,364545
ASTRAZEN,1436161
POLYMED,6583809
HEMIPROP,179457
SYMPHONY,6192641
ALKYLAMINE,1148673
DBL,4630017
